epoch,step,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,49,0.570900559425354,,,,,
0,99,0.2732364535331726,,,,,
0,149,0.2826763093471527,,,,,
0,189,,0.9079999923706055,0.910592794418335,0.2454625517129898,0.8856332898139954,0.9369999766349792
1,199,0.2652268707752228,,,,,
1,249,0.24680930376052856,,,,,
1,299,0.25894656777381897,,,,,
1,349,0.282530277967453,,,,,
1,379,,0.9120000004768372,0.9169027209281921,0.2328997552394867,0.8685151934623718,0.9710000157356262
2,399,0.21995683014392853,,,,,
2,449,0.22655975818634033,,,,,
2,499,0.132927805185318,,,,,
2,549,0.2151583433151245,,,,,
2,569,,0.9210000038146973,0.9245463013648987,0.19985897839069366,0.8848263025283813,0.9679999947547913
3,599,0.20261500775814056,,,,,
3,649,0.13442209362983704,,,,,
3,699,0.16431713104248047,,,,,
3,749,0.099510557949543,,,,,
3,759,,0.9194999933242798,0.9236605167388916,0.18784071505069733,0.8782687187194824,0.9739999771118164
4,799,0.18585900962352753,,,,,
4,849,0.1271524578332901,,,,,
4,899,0.1018751710653305,,,,,
4,949,0.1751500368118286,,,,,
4,949,,0.8960000276565552,0.9054545164108276,0.2681986689567566,0.8299999833106995,0.9959999918937683
5,999,0.2256510704755783,,,,,
5,1049,0.11765728145837784,,,,,
5,1099,0.14274099469184875,,,,,
5,1139,,0.8974999785423279,0.9067758321762085,0.27158862352371216,0.8315262794494629,0.996999979019165
6,1149,0.20185816287994385,,,,,
6,1199,0.18478958308696747,,,,,
6,1249,0.05699780583381653,,,,,
6,1299,0.12570147216320038,,,,,
6,1329,,0.9340000152587891,0.9373219609260559,0.16185574233531952,0.892405092716217,0.9869999885559082
7,1349,0.09465315192937851,,,,,
7,1399,0.0571320541203022,,,,,
7,1449,0.19741922616958618,,,,,
7,1499,0.1057571992278099,,,,,
7,1519,,0.9470000267028809,0.947576642036438,0.1356581747531891,0.9373776912689209,0.9580000042915344
8,1549,0.14990077912807465,,,,,
8,1599,0.1882563978433609,,,,,
8,1649,0.08654000610113144,,,,,
8,1699,0.05537131801247597,,,,,
8,1709,,0.9049999713897705,0.9130832552909851,0.24179880321025848,0.8414839506149292,0.9980000257492065
9,1749,0.07365583628416061,,,,,
9,1799,0.10081403702497482,,,,,
9,1849,0.10368531197309494,,,,,
9,1899,0.08919787406921387,,,,,
9,1899,,0.9100000262260437,0.9171270728111267,0.22014757990837097,0.849829375743866,0.9959999918937683
10,1949,0.10556131601333618,,,,,
10,1999,0.15938186645507812,,,,,
10,2049,0.07492019981145859,,,,,
10,2089,,0.9325000047683716,0.9362305402755737,0.16583074629306793,0.8871978521347046,0.9909999966621399
11,2099,0.05750016123056412,,,,,
11,2149,0.08940109610557556,,,,,
11,2199,0.04800413176417351,,,,,
11,2249,0.1409894973039627,,,,,
11,2279,,0.8805000185966492,0.8930648565292358,0.3291601836681366,0.8080971837043762,0.9980000257492065
12,2299,0.1338007003068924,,,,,
12,2349,0.07939118146896362,,,,,
12,2399,0.07773394137620926,,,,,
12,2449,0.03446565195918083,,,,,
12,2469,,0.8964999914169312,0.9059518575668335,0.2775477170944214,0.830141544342041,0.996999979019165
